"time_index","y","x01","x02","x03","x04","x05","x06","x07","x08","x09","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","x21","x22","x23","x24","x25"
1,-0.00252539850833188,-0.0368355162958124,-0.0449890757086103,0.0284334525990202,-0.00103758838808294,-0.0483882094654499,-0.0467407747271534,-0.0217808417803777,0.0531956438201143,-0.0338527335941956,-0.057203236223209,-0.0521786877671827,-0.0295382405091107,0.0735226586999853,-0.00508362605804241,-0.125191491533846,-0.058089569202553,0.0216872895032904,-0.0218523779493727,-0.0260827261879257,-0.0298724849705154,0.00548257764697995,0.00447299808212022,-0.0569879585584629,-0.0350090641641929,0.00884931777732848
2,-0.0263301881477746,-0.0395007775628015,-0.0165378528649979,-0.00491886638957517,0.0366938301334876,-0.025729391622443,-0.0584260250692589,0.033050990974936,0.0566568585696894,0.0233744497253285,-0.0415913116247898,-0.060075612225709,0.0453976277415673,-0.0343987249771208,0.0376858073937406,-0.0140055231115611,0.00634073386571666,0.0852774498856135,0.0184918663792336,0.0224574637807252,-0.0134786401631444,-0.0393255106077241,-0.0302020608551867,-0.0285406215287857,0.06267411118687,-0.0862951614578683
3,0.0115343651464454,-0.0457123968122662,-0.0146504003715367,0.0217264694158377,-0.0367664619743265,-0.00389205692320168,-0.0301944247237654,0.0661468127810843,-0.0134627758300595,-0.035345107263053,0.0298473494221771,-0.00315195080444773,0.0675056010312629,-0.00876546538320343,-0.0245085941158024,-0.0173027419253618,-0.100648287042513,0.0893154779319805,0.00904053471549989,-0.0380836331152076,-0.0213608857590239,-0.0397603755214404,0.0813119772697856,0.0120813641041034,-0.0198399787410115,0.00846752908055209
4,0.0155084615252309,-0.0353549807829297,-0.0251266870978763,0.0868557981633763,-0.00235725500645506,-0.0219184314665863,-0.0405277952894206,0.0665636896564596,0.0340953611930163,-0.0256900667878433,0.00264292714544654,-0.0335755561767755,-0.0284010232743414,0.101224650784189,-0.0189632326283021,-0.036864255333138,0.0357470921724729,0.00425661508889357,-0.00833446192060779,-0.0201786610978686,-0.0541978623514663,-0.0209574263416255,0.0215662273275774,0.0401926730996534,0.00198944855976674,-0.00787697828971028
5,-0.0201551248226561,0.0086507890304454,-0.00133153087228595,-0.0605920142783054,0.0463270644812851,0.0288615226846687,0.106948930876498,0.0326124586272812,-0.0352974433413057,0.00212140908641679,0.0386686335026215,0.00279394187850306,-0.0123273173232566,-0.112865669533456,0.0813830804086,0.0638367937815488,0.022421589958066,-0.0323463461209171,-0.101124411752417,0.0165162108513385,0.0189671465541999,0.0179271508042357,-0.0227476130992803,-0.053113822816396,0.031135253776986,0.0521903465254902
6,-0.020054522153873,-0.0156974080698384,-0.0119241111977899,-0.00243125942731199,0.0693201689305303,0.0198841380125654,-0.0398378974836356,0.018505617921815,0.0354783257609413,0.0481358860489139,0.039972137856816,-0.0105851616687777,0.0264668917031792,0.00747815386650733,0.0468064111212324,-0.026746383694621,-0.0030690145687504,-0.0202337992088853,0.0139716456998212,0.034520325533603,0.0483146793135809,-0.0148972509800357,0.0440538698875654,-0.0103351582779479,-0.00238777366814625,0.016728941132647
7,0.0276778810466203,0.0693370430253484,0.0417264329581145,-0.0267549012610493,-0.0090630544422816,0.0326428091408258,0.0779459614985866,-0.00591405497627527,0.0191147663616636,-0.0243405429091836,0.0159977503318689,0.0175057325412598,-0.0400103591043949,-0.0491650367432888,-0.0287668088601685,-0.00112931227741231,0.0126049885574506,0.000173816153967422,-0.0339795400171988,0.0473102781231957,0.0380138738650275,0.0287611593578746,-0.0578781513159794,-0.0239943963291164,-0.00387922928427501,-0.0193121157509593
8,0.000926981480577774,-0.0136002558723521,-0.0282168590981172,-0.0397982520805416,0.00275439991031487,0.0446956137271129,0.0135906418033711,-0.0250720032045919,-0.0757175810510478,0.0041133053983831,0.0228495676398643,-0.0126671862969071,-0.0323960813349448,-0.00176408764262483,-0.0386401232079712,-0.0225035512088791,-0.0134845509187523,-0.00408928879935415,-0.0158850500820961,0.0384913540082215,0.0659566575553319,0.0098728143346236,-0.059451404210718,0.0171505522533378,-0.0302687687215683,0.0429736341004896
9,-0.010115192734705,0.0247595807647646,0.0180680940088708,-0.036920873341216,-0.00172420924294362,-0.0127403050519375,0.0301574570781171,0.0615444459924388,-0.0545864649897199,-0.0192926203207947,-0.0155419652986536,0.0432798572792295,-0.00108462022910482,-0.0310338501013941,-0.0232706419048482,-0.0853543391062411,-0.00599198274546162,-0.00170292692561651,-0.0261307236115772,0.0242141195705322,0.0325338811444047,-0.0234624315482144,0.0749318633992825,-0.0190641482244076,0.00909929400253364,-0.0502095355857975
10,-0.0214879596871907,-0.00416500208204858,0.00711391590176385,-0.0060889212718986,0.0300355167253751,0.0041853459383353,0.0111157859324105,0.0126330028696143,0.0495663003946967,0.0456486050948812,-0.0481625027297354,-0.0192210896374247,0.0304327188993748,-0.017928154022224,0.0359228112978609,-0.0266575792622466,0.00857821902649373,0.0349230435328203,0.00137277504603819,2.01396484497171e-05,-0.00640498914426031,-0.0356114407774368,0.0641646347695942,-0.0217351856421819,0.022505238205879,-0.024450392167831
